LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
4m16s       Normal    SuccessfulCreate        statefulset/postgres                      create Pod postgres-0 in StatefulSet postgres successful
51m         Normal    SuccessfulCreate        job/presit-phase3-integration             Created pod: presit-phase3-integration-g6z57
51m         Normal    Provisioning            persistentvolumeclaim/presit-reports      External provisioner is provisioning volume for claim "pre-sit/presit-reports"
51m         Normal    ExternalProvisioning    persistentvolumeclaim/presit-reports      Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
51m         Normal    WaitForFirstConsumer    persistentvolumeclaim/presit-reports      waiting for first consumer to be created before binding
51m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-7bjg5
51m         Normal    SuccessfulCreate        job/presit-phase1-database                Created pod: presit-phase1-database-g5mkp
51m         Warning   FailedScheduling        pod/presit-phase2-application-dllck       running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "presit-reports": the object has been modified; please apply your changes to the latest version and try again
51m         Normal    SuccessfulCreate        job/presit-phase2-application             Created pod: presit-phase2-application-dllck
51m         Normal    ProvisioningSucceeded   persistentvolumeclaim/presit-reports      Successfully provisioned volume pvc-673ca92c-0787-4778-aa8a-1a6688b5da6d
51m         Normal    Scheduled               pod/presit-phase2-application-dllck       Successfully assigned pre-sit/presit-phase2-application-dllck to presit-control-plane
51m         Normal    Scheduled               pod/presit-phase4-e2e-decision-7bjg5      Successfully assigned pre-sit/presit-phase4-e2e-decision-7bjg5 to presit-control-plane
51m         Normal    Scheduled               pod/presit-phase1-database-g5mkp          Successfully assigned pre-sit/presit-phase1-database-g5mkp to presit-control-plane
51m         Normal    Pulling                 pod/presit-phase2-application-dllck       Pulling image "bitnami/kubectl:latest"
51m         Normal    Pulling                 pod/presit-phase1-database-g5mkp          Pulling image "localhost:5000/presit-bdd-runner:v2.2"
51m         Normal    Pulling                 pod/presit-phase3-integration-g6z57       Pulling image "bitnami/kubectl:latest"
51m         Normal    Scheduled               pod/presit-phase3-integration-g6z57       Successfully assigned pre-sit/presit-phase3-integration-g6z57 to presit-control-plane
51m         Normal    Pulling                 pod/presit-phase4-e2e-decision-7bjg5      Pulling image "bitnami/kubectl:latest"
51m         Normal    Started                 pod/presit-phase1-database-g5mkp          Started container wait-for-db
51m         Normal    Pulled                  pod/presit-phase1-database-g5mkp          Container image "busybox:1.36" already present on machine
51m         Normal    Created                 pod/presit-phase1-database-g5mkp          Created container wait-for-db
51m         Normal    Created                 pod/presit-phase2-application-dllck       Created container wait-for-phase1
